Date,Open,High,Low,Close,"Daily Change %"
22-Dec-2023,13.76,13.99,12.23,13.71,-0.36
21-Dec-2023,14.45,15.01,12.28,13.76,-4.78
20-Dec-2023,13.87,14.87,12.78,14.45,4.18
19-Dec-2023,13.9,14.12,13.55,13.87,-0.22
18-Dec-2023,13.13,14.12,13.13,13.9,5.86
15-Dec-2023,12.32,13.34,10.8,13.13,6.57
14-Dec-2023,12.07,12.51,11,12.32,2.07
13-Dec-2023,12.71,12.82,11.54,12.07,-5.04
12-Dec-2023,12.76,12.87,11.69,12.71,-0.39
11-Dec-2023,12.47,13.12,12.23,12.76,2.33
08-Dec-2023,12.67,12.88,12.14,12.47,-1.58
07-Dec-2023,13.74,13.74,12.55,12.67,-7.79
06-Dec-2023,13.46,14.09,12.69,13.74,2.08
05-Dec-2023,12.99,13.88,11.48,13.46,3.62
04-Dec-2023,12.38,13.16,11.34,12.99,4.93
01-Dec-2023,12.69,12.76,11.78,12.38,-2.44
30-Nov-2023,12.71,13.35,11.76,12.69,-0.16
29-Nov-2023,12.18,14.46,11.33,12.71,4.35
28-Nov-2023,11.33,12.49,11.07,12.18,7.50
24-Nov-2023,11.32,11.47,8.68,11.33,0.09
23-Nov-2023,11.87,12.14,10.98,11.32,-4.63
22-Nov-2023,12.23,12.71,11.02,11.87,-2.94
21-Nov-2023,12.15,12.44,10.76,12.23,0.66
20-Nov-2023,11.83,12.67,11.2,12.15,2.70
17-Nov-2023,11.65,12.09,10.19,11.83,1.55
16-Nov-2023,11.14,11.81,10.62,11.65,4.58
15-Nov-2023,11.19,11.42,8.4,11.14,-0.45
13-Nov-2023,11.35,11.63,10.5,11.19,-1.41
10-Nov-2023,10.98,11.36,9.86,11.11,1.18
09-Nov-2023,11.04,11.25,10.37,10.98,-0.54
08-Nov-2023,11.19,11.33,10.63,11.04,-1.34
07-Nov-2023,11.11,12.18,11,11.19,0.72
06-Nov-2023,10.88,11.28,10.38,11.11,2.11
03-Nov-2023,11.08,11.08,10.64,10.88,-1.81
02-Nov-2023,12.05,12.05,10.95,11.08,-8.05
01-Nov-2023,11.83,12.2,11.83,12.05,1.86
31-Oct-2023,11.49,12.29,11.26,11.83,2.96
30-Oct-2023,10.91,12.19,10.91,11.49,5.32
27-Oct-2023,11.73,12.31,10.67,10.91,-6.99
26-Oct-2023,11.31,12.7,11.31,11.73,3.71
25-Oct-2023,10.91,12.18,9.97,11.31,3.67
23-Oct-2023,10.82,11.36,8.83,10.91,0.83
20-Oct-2023,10.9,11.09,10.08,10.82,-0.73
19-Oct-2023,10.97,11.21,10.05,10.9,-0.64
18-Oct-2023,10.7,11.17,10.49,10.97,2.52
17-Oct-2023,11.07,11.07,10.43,10.7,-3.34
16-Oct-2023,10.62,11.15,9.15,11.07,4.24
13-Oct-2023,10.62,11.03,10.4,10.62,0.00
12-Oct-2023,10.99,11.12,10.57,10.62,-3.37
11-Oct-2023,11.27,11.32,10.39,10.99,-2.48
10-Oct-2023,11.4,11.4,10.86,11.27,-1.14
09-Oct-2023,10.3,11.63,10.12,11.4,10.68
06-Oct-2023,10.94,10.94,9.73,10.3,-5.85
05-Oct-2023,11.66,11.66,10.84,10.94,-6.17
04-Oct-2023,11.79,12.22,11.12,11.66,-1.10
03-Oct-2023,11.45,12.41,10.78,11.79,2.97
29-Sep-2023,12.82,12.82,11.31,11.45,-10.69
28-Sep-2023,11.59,13.02,9.4,12.82,10.61
27-Sep-2023,11.19,11.82,9.39,11.59,3.57
26-Sep-2023,10.9,11.29,9.25,11.19,2.66
25-Sep-2023,10.66,11.31,10.27,10.9,2.25
22-Sep-2023,10.82,11.07,10.39,10.66,-1.48
21-Sep-2023,11.13,11.39,10.62,10.82,-2.79
20-Sep-2023,10.84,11.47,10.84,11.13,2.68
18-Sep-2023,10.9,11.41,10.45,10.84,-0.55
15-Sep-2023,11.32,11.32,10.07,10.9,-3.71
14-Sep-2023,11.83,12.04,11.21,11.32,-4.31
13-Sep-2023,11.69,12.05,11.69,11.83,1.20
12-Sep-2023,11.35,12.02,10.71,11.69,3.00
11-Sep-2023,10.78,11.5,10.78,11.35,5.29
08-Sep-2023,10.87,10.97,10.08,10.78,-0.83
07-Sep-2023,10.68,11.03,9.8,10.87,1.78
06-Sep-2023,10.82,10.98,9.81,10.68,-1.29
05-Sep-2023,10.96,11.09,9.37,10.82,-1.28
04-Sep-2023,11.37,11.54,10.86,10.96,-3.61
01-Sep-2023,12.06,12.18,10.41,11.37,-5.72
31-Aug-2023,11.8,12.28,11.76,12.06,2.20
30-Aug-2023,12.23,12.24,11.46,11.8,-3.52
29-Aug-2023,12.4,12.46,10.65,12.23,-1.37
28-Aug-2023,11.7,12.72,9.98,12.4,5.98
25-Aug-2023,11.7,12.24,9.98,12.08,3.25
24-Aug-2023,11.73,12.24,10.2,11.7,-0.26
23-Aug-2023,11.75,11.89,10.31,11.75,0.00
22-Aug-2023,11.96,12.09,11.59,11.75,-1.76
21-Aug-2023,12.14,12.59,11.17,11.96,-1.48
18-Aug-2023,12.24,12.49,10.79,12.14,-0.82
17-Aug-2023,12.13,12.67,12.11,12.24,0.91
16-Aug-2023,12,12.68,12,12.13,1.08
14-Aug-2023,11.52,12.76,10.48,12,4.17
11-Aug-2023,11.4,11.87,11.36,11.52,1.05
10-Aug-2023,11.14,11.91,10.63,11.4,2.33
09-Aug-2023,11.33,11.77,10.49,11.14,-1.68
08-Aug-2023,11.1,11.53,11.1,11.33,2.07
07-Aug-2023,10.57,11.42,10.4,11.1,5.01
04-Aug-2023,11.19,11.19,10.48,10.57,-5.54
03-Aug-2023,11.28,11.96,10.98,11.19,-0.80
02-Aug-2023,10.28,11.81,9.95,11.28,9.73
01-Aug-2023,10.41,10.7,10.2,10.28,-1.25
31-Jul-2023,10.14,11.19,10.14,10.41,2.66
28-Jul-2023,10.51,10.81,10.04,10.14,-3.52
27-Jul-2023,10.46,10.98,9.89,10.51,0.48
26-Jul-2023,10.24,10.86,10.22,10.46,2.15
25-Jul-2023,11.65,11.65,10.11,10.24,-12.10
24-Jul-2023,11.49,12,10.54,11.65,1.39
